(0.72,0.7,1.34,0.98,1.8,0.22,0.46,1.56,1.7,1.9,1.14,0.34,1.98),
(0.48,1.12,1.38,0.3,0.58,0.94,0.24,0.52,1.02,1.32,0.46,1.4,1.44),
(0.76,0.44,1.26,1.2,1.68,1.8,1.72,1.02,0.76,1.52,1.04,1.02,1.06),
(0.74,0.92,2,0.88,0.88,0.48,1.82,0.26,0.58,0.38,1,0.64,0.72),
(1.82,1.76,0.98,1.2,1.2,1.54,1.46,0.44,0.74,1.12,0.22,0.44,1.94),
(0.8,1.78,0.98,1.64,0.82,1.54,0.54,0.82,0.42,1.24,1.1,0.22,1.3),
(1.5,0.42,0.28,1.96,0.94,1.92,1.72,1.72,1.1,0.9,1.26,0.54,1.16),
(1.8,1.48,1.2,0.24,1.42,1.8,1.82,0.4,1.42,0.64,1.76,1.76,1.26),
(1.98,1,0.36,0.2,0.28,1.68,0.42,0.38,1.62,1.16,0.28,1.34,0.88),
(1.2,0.24,1.96,1.56,1.2,1.76,1.04,0.38,1.8,0.46,2,1.62,0.68),
(1.4,0.24,0.42,1.16,1.32,0.4,1.98,1.48,0.4,0.26,1.14,0.64,0.44),
(0.76,1.62,0.54,1.9,0.48,1.54,1.96,0.44,1.08,1.14,2,1.94,1.34),
(1.8,0.38,1.34,1.4,0.86,0.72,1.46,1.1,1.7,0.76,1.3,1.6,0.24);
